filename,label
airport_1.jpg,airport
airport_10.jpg,airport
airport_100.jpg,airport
airport_101.jpg,airport
airport_102.jpg,airport
airport_103.jpg,airport
airport_104.jpg,airport
airport_105.jpg,airport
airport_106.jpg,airport
airport_107.jpg,airport
airport_109.jpg,airport
airport_11.jpg,airport
airport_110.jpg,airport
airport_111.jpg,airport
airport_112.jpg,airport
airport_113.jpg,airport
airport_114.jpg,airport
airport_116.jpg,airport
airport_117.jpg,airport
airport_118.jpg,airport
airport_119.jpg,airport
airport_12.jpg,airport
airport_120.jpg,airport
airport_121.jpg,airport
airport_122.jpg,airport
airport_123.jpg,airport
airport_124.jpg,airport
airport_125.jpg,airport
airport_126.jpg,airport
airport_127.jpg,airport
airport_128.jpg,airport
airport_129.jpg,airport
airport_13.jpg,airport
airport_130.jpg,airport
airport_131.jpg,airport
airport_132.jpg,airport
airport_133.jpg,airport
airport_135.jpg,airport
airport_137.jpg,airport
airport_138.jpg,airport
airport_139.jpg,airport
airport_14.jpg,airport
airport_140.jpg,airport
airport_141.jpg,airport
airport_142.jpg,airport
airport_143.jpg,airport
airport_145.jpg,airport
airport_147.jpg,airport
airport_148.jpg,airport
airport_149.jpg,airport
airport_15.jpg,airport
airport_150.jpg,airport
airport_151.jpg,airport
airport_152.jpg,airport
airport_153.jpg,airport
airport_154.jpg,airport
airport_155.jpg,airport
airport_156.jpg,airport
airport_157.jpg,airport
airport_158.jpg,airport
airport_159.jpg,airport
airport_160.jpg,airport
airport_161.jpg,airport
airport_162.jpg,airport
airport_163.jpg,airport
airport_165.jpg,airport
airport_166.jpg,airport
airport_168.jpg,airport
airport_169.jpg,airport
airport_17.jpg,airport
airport_170.jpg,airport
airport_171.jpg,airport
airport_172.jpg,airport
airport_174.jpg,airport
airport_175.jpg,airport
airport_176.jpg,airport
airport_178.jpg,airport
airport_179.jpg,airport
airport_18.jpg,airport
airport_180.jpg,airport
airport_181.jpg,airport
airport_182.jpg,airport
airport_183.jpg,airport
airport_184.jpg,airport
airport_185.jpg,airport
airport_187.jpg,airport
airport_188.jpg,airport
airport_189.jpg,airport
airport_19.jpg,airport
airport_190.jpg,airport
airport_191.jpg,airport
airport_192.jpg,airport
